matrix1	part1	matrix2	part2	count
Borowiec2015_Best108	OG294.fasta.aln_gene33	Ryan2013_est	gene208	76
Borowiec2015_Best108	OG294.fasta.aln_gene33	Simion2017	V2META10658-2-42-Calc_Hmm10-BMGE05	57
Borowiec2015_Best108	OG294.fasta.aln_gene33	Whelan2017_full	Subset31_02	23
Borowiec2015_Best108	OG295.fasta.aln_gene34	Borowiec2015_Total1080	OG295.fasta.aln_gene345	400
Borowiec2015_Best108	OG295.fasta.aln_gene34	Simion2017	V2META12315-42-Calc_Hmm10-BMGE05	34
Borowiec2015_Best108	OG295.fasta.aln_gene34	Whelan2015_D1	Gene_0410	3
Borowiec2015_Best108	OG298.fasta.aln_gene35	Borowiec2015_Total1080	OG298.fasta.aln_gene348	338
Borowiec2015_Best108	OG298.fasta.aln_gene35	Hejnol2009	Tribe1786_0	11
Borowiec2015_Best108	OG298.fasta.aln_gene35	Ryan2013_est	gene195	17
Borowiec2015_Best108	OG298.fasta.aln_gene35	Whelan2015_D1	Gene_0017	32
Borowiec2015_Best108	OG298.fasta.aln_gene35	Whelan2015_D10	Gene_0017	31
Borowiec2015_Best108	OG298.fasta.aln_gene35	Whelan2015_D20	Gene_0017	30
Borowiec2015_Best108	OG298.fasta.aln_gene35	Whelan2017_full	Subset2_01	20
Borowiec2015_Best108	OG3.fasta.aln_gene48	Borowiec2015_Total1080	OG3.fasta.aln_gene457	266
Borowiec2015_Best108	OG3.fasta.aln_gene48	Chang2015	cct_01	128
Borowiec2015_Best108	OG3.fasta.aln_gene48	Philippe2009	Gene_0007	34
Borowiec2015_Best108	OG3.fasta.aln_gene48	Simion2017	V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05	134
Borowiec2015_Best108	OG30.fasta.aln_gene38	Borowiec2015_Total1080	OG30.fasta.aln_gene361	371
Borowiec2015_Best108	OG30.fasta.aln_gene38	Ryan2013_est	gene339	13
Borowiec2015_Best108	OG30.fasta.aln_gene38	Simion2017	V2META11247-2-42-Calc_Hmm10-BMGE05	10
Borowiec2015_Best108	OG30.fasta.aln_gene38	Whelan2017_full	Subset11_05	20
Borowiec2015_Best108	OG302.fasta.aln_gene37	Borowiec2015_Total1080	OG302.fasta.aln_gene353	343
Borowiec2015_Best108	OG302.fasta.aln_gene37	Hejnol2009	Tribe3448_0	21
Borowiec2015_Best108	OG327.fasta.aln_gene39	Borowiec2015_Total1080	OG327.fasta.aln_gene379	299
Borowiec2015_Best108	OG327.fasta.aln_gene39	Hejnol2009	Tribe1698_0	16
Borowiec2015_Best108	OG327.fasta.aln_gene39	Ryan2013_est	gene56	42
Borowiec2015_Best108	OG327.fasta.aln_gene39	Simion2017	V2META13368-42-Calc_Hmm10-BMGE05	20
Borowiec2015_Best108	OG335.fasta.aln_gene40	Borowiec2015_Total1080	OG335.fasta.aln_gene387	352
Borowiec2015_Best108	OG335.fasta.aln_gene40	Nosenko2013_nonribo_9187	KOG2541	64
Borowiec2015_Best108	OG364.fasta.aln_gene41	Borowiec2015_Total1080	OG364.fasta.aln_gene418	359
Borowiec2015_Best108	OG364.fasta.aln_gene41	Simion2017	V2META12519-42-Calc_Hmm10-BMGE05	25
Borowiec2015_Best108	OG365.fasta.aln_gene42	Borowiec2015_Total1080	OG365.fasta.aln_gene419	236
Borowiec2015_Best108	OG365.fasta.aln_gene42	Hejnol2009	Tribe3231_0	14
Borowiec2015_Best108	OG365.fasta.aln_gene42	Simion2017	V2META13159-42-Calc_Hmm10-BMGE05	21
Borowiec2015_Best108	OG366.fasta.aln_gene43	Borowiec2015_Total1080	OG366.fasta.aln_gene420	92
Borowiec2015_Best108	OG366.fasta.aln_gene43	Ryan2013_est	gene341	23
Borowiec2015_Best108	OG370.fasta.aln_gene44	Borowiec2015_Total1080	OG370.fasta.aln_gene425	341
Borowiec2015_Best108	OG378.fasta.aln_gene45	Borowiec2015_Total1080	OG378.fasta.aln_gene432	235
Borowiec2015_Best108	OG378.fasta.aln_gene45	Chang2015	orf2	48
Borowiec2015_Best108	OG378.fasta.aln_gene45	Hejnol2009	Tribe2779_0	39
Borowiec2015_Best108	OG378.fasta.aln_gene45	Moroz2014_3d	0483	22
Borowiec2015_Best108	OG378.fasta.aln_gene45	Ryan2013_est	gene391	44
Borowiec2015_Best108	OG378.fasta.aln_gene45	Simion2017	V2META13108-42-Calc_Hmm10-BMGE05	189
Borowiec2015_Best108	OG378.fasta.aln_gene45	Whelan2017_full	Subset31_01	17
Borowiec2015_Best108	OG378.fasta.aln_gene45	Whelan2017_strict	Subset26	15
Borowiec2015_Best108	OG379.fasta.aln_gene46	Borowiec2015_Total1080	OG379.fasta.aln_gene433	405
Borowiec2015_Best108	OG379.fasta.aln_gene46	Simion2017	V2META14298-42-Calc_Hmm10-BMGE05	2
Borowiec2015_Best108	OG384.fasta.aln_gene47	Borowiec2015_Total1080	OG384.fasta.aln_gene439	123
Borowiec2015_Best108	OG384.fasta.aln_gene47	Simion2017	V2META14137-42-Calc_Hmm10-BMGE05	5
Borowiec2015_Best108	OG384.fasta.aln_gene47	Whelan2017_full	Subset22_06	21
Borowiec2015_Best108	OG384.fasta.aln_gene47	Whelan2017_strict	Subset21_01	25
Borowiec2015_Best108	OG4.fasta.aln_gene62	Borowiec2015_Total1080	OG4.fasta.aln_gene564	256
Borowiec2015_Best108	OG4.fasta.aln_gene62	Chang2015	cct_01	157
Borowiec2015_Best108	OG4.fasta.aln_gene62	Philippe2009	Gene_0009	75
Borowiec2015_Best108	OG408.fasta.aln_gene49	Borowiec2015_Total1080	OG408.fasta.aln_gene466	392
Borowiec2015_Best108	OG423.fasta.aln_gene50	Borowiec2015_Total1080	OG423.fasta.aln_gene483	293
Borowiec2015_Best108	OG423.fasta.aln_gene50	Chang2015	fibri	86
Borowiec2015_Best108	OG423.fasta.aln_gene50	Philippe2009	Gene_0017	31
Borowiec2015_Best108	OG423.fasta.aln_gene50	Simion2017	V2META14219-42-Calc_Hmm10-BMGE05	18
Borowiec2015_Best108	OG423.fasta.aln_gene50	Whelan2015_D1	Gene_0542	4
Borowiec2015_Best108	OG423.fasta.aln_gene50	Whelan2015_D10	Gene_0542	5
Borowiec2015_Best108	OG423.fasta.aln_gene50	Whelan2015_D20	Gene_0542	4
Borowiec2015_Best108	OG423.fasta.aln_gene50	Whelan2017_full	Subset32_03	13
Borowiec2015_Best108	OG423.fasta.aln_gene50	Whelan2017_strict	Subset16_01	10
Borowiec2015_Best108	OG427.fasta.aln_gene51	Borowiec2015_Total1080	OG427.fasta.aln_gene487	218
Borowiec2015_Best108	OG427.fasta.aln_gene51	Chang2015	psmb_01	44
Borowiec2015_Best108	OG427.fasta.aln_gene51	Dunn2008	Tribe868	79
Borowiec2015_Best108	OG427.fasta.aln_gene51	Philippe2009	Gene_0044	39
Borowiec2015_Best108	OG427.fasta.aln_gene51	Ryan2013_est	gene95	89
Borowiec2015_Best108	OG427.fasta.aln_gene51	Simion2017	V2META14917-42-Calc_Hmm10-BMGE05	59
Borowiec2015_Best108	OG43.fasta.aln_gene54	Borowiec2015_Total1080	OG43.fasta.aln_gene500	316
Borowiec2015_Best108	OG43.fasta.aln_gene54	Borowiec2015_Total1080	OG44.fasta.aln_gene511	7
Borowiec2015_Best108	OG43.fasta.aln_gene54	Moroz2014_3d	0320	13
Borowiec2015_Best108	OG43.fasta.aln_gene54	Ryan2013_est	gene103	33
Borowiec2015_Best108	OG43.fasta.aln_gene54	Ryan2013_est	gene71	6
Borowiec2015_Best108	OG43.fasta.aln_gene54	Simion2017	V2META12988-42-Calc_Hmm10-BMGE05	3
Borowiec2015_Best108	OG43.fasta.aln_gene54	Simion2017	V2META15349-42-Calc_Hmm10-BMGE05	28
Borowiec2015_Best108	OG43.fasta.aln_gene54	Whelan2017_strict	Subset19_01	28
Borowiec2015_Best108	OG43.fasta.aln_gene54	Whelan2017_strict	Subset5_01	25
Borowiec2015_Best108	OG430.fasta.aln_gene52	Borowiec2015_Total1080	OG430.fasta.aln_gene491	200
Borowiec2015_Best108	OG430.fasta.aln_gene52	Dunn2008	Tribe700	110
Borowiec2015_Best108	OG430.fasta.aln_gene52	Hejnol2009	Tribe926_0	111
Borowiec2015_Best108	OG430.fasta.aln_gene52	Ryan2013_est	gene140	133
Borowiec2015_Best108	OG430.fasta.aln_gene52	Simion2017	V2META14188-42-Calc_Hmm10-BMGE05	48
Borowiec2015_Best108	OG430.fasta.aln_gene52	Whelan2015_D1	Gene_0807	4
Borowiec2015_Best108	OG430.fasta.aln_gene52	Whelan2015_D10	Gene_0807	4
Borowiec2015_Best108	OG430.fasta.aln_gene52	Whelan2015_D20	Gene_0807	4
Borowiec2015_Best108	OG438.fasta.aln_gene53	Borowiec2015_Total1080	OG438.fasta.aln_gene498	343
Borowiec2015_Best108	OG438.fasta.aln_gene53	Hejnol2009	Tribe1748_0	6
Borowiec2015_Best108	OG438.fasta.aln_gene53	Simion2017	V2META13838-42-Calc_Hmm10-BMGE05	19
Borowiec2015_Best108	OG438.fasta.aln_gene53	Whelan2017_full	Subset29_05	10
Borowiec2015_Best108	OG438.fasta.aln_gene53	Whelan2017_strict	Subset5_01	14
Borowiec2015_Best108	OG440.fasta.aln_gene55	Borowiec2015_Total1080	OG440.fasta.aln_gene501	181
Borowiec2015_Best108	OG440.fasta.aln_gene55	Chang2015	rps16	129
Borowiec2015_Best108	OG440.fasta.aln_gene55	Dunn2008	Tribe242	149
Borowiec2015_Best108	OG440.fasta.aln_gene55	Nosenko2013_ribo_11057	KOG1753	24
Borowiec2015_Best108	OG440.fasta.aln_gene55	Nosenko2013_ribo_14615	KOG1753	27
Borowiec2015_Best108	OG440.fasta.aln_gene55	Philippe2009	Gene_0096	97
Borowiec2015_Best108	OG444.fasta.aln_gene56	Borowiec2015_Total1080	OG444.fasta.aln_gene505	363
Borowiec2015_Best108	OG467.fasta.aln_gene57	Borowiec2015_Total1080	OG467.fasta.aln_gene528	358
Borowiec2015_Best108	OG467.fasta.aln_gene57	Simion2017	V2META11875-42-Calc_Hmm10-BMGE05	48
Borowiec2015_Best108	OG474.fasta.aln_gene58	Borowiec2015_Total1080	OG474.fasta.aln_gene536	309
Borowiec2015_Best108	OG474.fasta.aln_gene58	Ryan2013_est	gene145	13
Borowiec2015_Best108	OG482.fasta.aln_gene59	Borowiec2015_Total1080	OG482.fasta.aln_gene545	373
Borowiec2015_Best108	OG482.fasta.aln_gene59	Hejnol2009	Tribe1795_0	14
Borowiec2015_Best108	OG482.fasta.aln_gene59	Ryan2013_est	gene289	13
Borowiec2015_Best108	OG482.fasta.aln_gene59	Simion2017	V2META14056-42-Calc_Hmm10-BMGE05	11
Borowiec2015_Best108	OG482.fasta.aln_gene59	Whelan2017_full	Subset31_05	23
Borowiec2015_Best108	OG49.fasta.aln_gene61	Borowiec2015_Total1080	OG49.fasta.aln_gene563	384
Borowiec2015_Best108	OG496.fasta.aln_gene60	Borowiec2015_Total1080	OG496.fasta.aln_gene560	408
Borowiec2015_Best108	OG5.fasta.aln_gene77	Borowiec2015_Total1080	OG5.fasta.aln_gene666	271
Borowiec2015_Best108	OG5.fasta.aln_gene77	Chang2015	cct	145
Borowiec2015_Best108	OG5.fasta.aln_gene77	Philippe2009	Gene_0006	98
Borowiec2015_Best108	OG513.fasta.aln_gene63	Borowiec2015_Total1080	OG513.fasta.aln_gene576	420
Borowiec2015_Best108	OG518.fasta.aln_gene64	Borowiec2015_Total1080	OG518.fasta.aln_gene581	271
Borowiec2015_Best108	OG518.fasta.aln_gene64	Hejnol2009	Tribe1263_0	75
Borowiec2015_Best108	OG518.fasta.aln_gene64	Ryan2013_est	gene53	34
Borowiec2015_Best108	OG518.fasta.aln_gene64	Simion2017	V2META11141-2-42-Calc_Hmm10-BMGE05	155
Borowiec2015_Best108	OG52.fasta.aln_gene65	Borowiec2015_Total1080	OG52.fasta.aln_gene592	394
Borowiec2015_Best108	OG52.fasta.aln_gene65	Whelan2017_full	Subset31_04	14
Borowiec2015_Best108	OG52.fasta.aln_gene65	Whelan2017_strict	Subset19_01	14
Borowiec2015_Best108	OG538.fasta.aln_gene66	Borowiec2015_Total1080	OG538.fasta.aln_gene601	285
Borowiec2015_Best108	OG538.fasta.aln_gene66	Hejnol2009	Tribe5175_0	111
Borowiec2015_Best108	OG538.fasta.aln_gene66	Simion2017	V2META13272-42-Calc_Hmm10-BMGE05	7
Borowiec2015_Best108	OG548.fasta.aln_gene67	Borowiec2015_Total1080	OG548.fasta.aln_gene612	175
Borowiec2015_Best108	OG548.fasta.aln_gene67	Hejnol2009	Tribe5088_0	12
Borowiec2015_Best108	OG548.fasta.aln_gene67	Moroz2014_3d	0668	28
Borowiec2015_Best108	OG548.fasta.aln_gene67	Simion2017	V2META14578-42-Calc_Hmm10-BMGE05	99
Borowiec2015_Best108	OG548.fasta.aln_gene67	Whelan2015_D1	Gene_0668	36
Borowiec2015_Best108	OG548.fasta.aln_gene67	Whelan2015_D10	Gene_0668	35
Borowiec2015_Best108	OG548.fasta.aln_gene67	Whelan2015_D20	Gene_0668	33
Borowiec2015_Best108	OG548.fasta.aln_gene67	Whelan2017_full	Subset5_09	100
Borowiec2015_Best108	OG553.fasta.aln_gene68	Borowiec2015_Total1080	OG553.fasta.aln_gene616	187
Borowiec2015_Best108	OG553.fasta.aln_gene68	Chang2015	rpl16b	96
Borowiec2015_Best108	OG553.fasta.aln_gene68	Nosenko2013_ribo_11057	KOG3204	40
Borowiec2015_Best108	OG553.fasta.aln_gene68	Nosenko2013_ribo_14615	KOG3204	45
Borowiec2015_Best108	OG553.fasta.aln_gene68	Philippe2009	Gene_0057	74
Borowiec2015_Best108	OG553.fasta.aln_gene68	Ryan2013_est	gene63	66
Borowiec2015_Best108	OG553.fasta.aln_gene68	Simion2017	V2META14169-42-Calc_Hmm10-BMGE05	124
Borowiec2015_Best108	OG557.fasta.aln_gene69	Borowiec2015_Total1080	OG557.fasta.aln_gene619	247
Borowiec2015_Best108	OG557.fasta.aln_gene69	Simion2017	V2META12777-42-Calc_Hmm10-BMGE05	10
Borowiec2015_Best108	OG559.fasta.aln_gene70	Borowiec2015_Total1080	OG559.fasta.aln_gene621	303
Borowiec2015_Best108	OG559.fasta.aln_gene70	Hejnol2009	Tribe4187_0	40
Borowiec2015_Best108	OG559.fasta.aln_gene70	Ryan2013_est	gene256	14
Borowiec2015_Best108	OG559.fasta.aln_gene70	Simion2017	V2META13806-42-Calc_Hmm10-BMGE05	19
Borowiec2015_Best108	OG561.fasta.aln_gene71	Borowiec2015_Total1080	OG561.fasta.aln_gene623	251
Borowiec2015_Best108	OG561.fasta.aln_gene71	Hejnol2009	Tribe1731_0	69
Borowiec2015_Best108	OG561.fasta.aln_gene71	Ryan2013_est	gene47	71
Borowiec2015_Best108	OG561.fasta.aln_gene71	Simion2017	V2META14419-42-Calc_Hmm10-BMGE05	122
Borowiec2015_Best108	OG561.fasta.aln_gene71	Whelan2017_full	Subset20_06	55
Borowiec2015_Best108	OG561.fasta.aln_gene71	Whelan2017_strict	Subset18_01	41
Borowiec2015_Best108	OG567.fasta.aln_gene72	Borowiec2015_Total1080	OG567.fasta.aln_gene629	381
Borowiec2015_Best108	OG567.fasta.aln_gene72	Hejnol2009	Tribe1932_0	35
Borowiec2015_Best108	OG567.fasta.aln_gene72	Simion2017	V2META13230-42-Calc_Hmm10-BMGE05	8
Borowiec2015_Best108	OG567.fasta.aln_gene72	Whelan2015_D1	Gene_0443	1
Borowiec2015_Best108	OG567.fasta.aln_gene72	Whelan2015_D10	Gene_0443	1
Borowiec2015_Best108	OG567.fasta.aln_gene72	Whelan2015_D20	Gene_0443	1
Borowiec2015_Best108	OG567.fasta.aln_gene72	Whelan2017_full	Subset30_02	14
Borowiec2015_Best108	OG567.fasta.aln_gene72	Whelan2017_strict	Subset5_01	15
Borowiec2015_Best108	OG573.fasta.aln_gene73	Borowiec2015_Total1080	OG573.fasta.aln_gene636	387
Borowiec2015_Best108	OG581.fasta.aln_gene74	Borowiec2015_Total1080	OG581.fasta.aln_gene645	307
Borowiec2015_Best108	OG581.fasta.aln_gene74	Hejnol2009	Tribe2976_0	32
Borowiec2015_Best108	OG581.fasta.aln_gene74	Simion2017	V2META14041-42-Calc_Hmm10-BMGE05	12
Borowiec2015_Best108	OG581.fasta.aln_gene74	Whelan2015_D1	Gene_0171	29
Borowiec2015_Best108	OG581.fasta.aln_gene74	Whelan2015_D10	Gene_0171	31
Borowiec2015_Best108	OG581.fasta.aln_gene74	Whelan2015_D20	Gene_0171	27
Borowiec2015_Best108	OG594.fasta.aln_gene75	Borowiec2015_Total1080	OG594.fasta.aln_gene659	237
Borowiec2015_Best108	OG594.fasta.aln_gene75	Chang2015	rpl24	80
Borowiec2015_Best108	OG594.fasta.aln_gene75	Nosenko2013_ribo_11057	KOG1723	4
Borowiec2015_Best108	OG594.fasta.aln_gene75	Nosenko2013_ribo_14615	KOG1723	25
